"subj_code","condition","desktop_conf","attent_conf","structure","test_queries","first_caused_rating","second_caused_rating","first_maintained_rating","second_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct"
"KETyRUPeaGM1",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"4","4","Yes.","2023-10-26 15:04:44",24,"1: male",NA,"correct"
"ksUQMpEq20zT",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"na","na","Yes.","2023-10-27 05:17:49",31,"1: male",NA,"correct"
"lj5QSbdD1dTd",2,"1: I confirm","1: I will take it seriously","reversible","original",8,8,"na","na","Yes.","2023-10-27 05:18:23",20,"1: male",NA,"correct"
"LjKGwVlMmTTt",2,"1: I confirm","1: I will take it seriously","reversible","original",8,1,"na","na","Yes.","2023-10-27 05:18:28",33,"1: male",NA,"correct"
"lOPTeqs2ijce",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"na","na","Yes.","2023-10-27 05:17:30",24,"1: male",NA,"correct"
"nqqhxwqMf5W1",2,"1: I confirm","1: I will take it seriously","reversible","original",8,2,"6","4","Yes.","2023-10-26 15:22:32",69,"2: female",NA,"correct"
"oQHmkVxmUt1O",2,"1: I confirm","1: I will take it seriously","reversible","original",6,0,"na","na","Yes.","2023-10-27 05:17:38",27,"2: female",NA,"correct"
"qG44NJUcTa9J",2,"1: I confirm","1: I will take it seriously","reversible","original",8,8,"na","na","Yes.","2023-10-27 05:18:13",46,"1: male","There were no errors - the survey worked well, thanks.","correct"
"Rm0pXvnKTlz7",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"8","2","Yes.","2023-10-26 15:21:19",57,"1: male","none","correct"
"rytPkto6EDjW",2,"1: I confirm","1: I will take it seriously","reversible","original",0,7,"na","na","Yes.","2023-10-27 05:18:44",22,"2: female","/","correct"
"Vtha2yLgwd1m",2,"1: I confirm","1: I will take it seriously","reversible","original",0,8,"0","8","Yes.","2023-10-26 15:24:32",56,"1: male","no errors ","correct"
"VxII730SOJpv",2,"1: I confirm","1: I will take it seriously","reversible","original",8,7,"4","8","Yes.","2023-10-26 15:22:37",57,"2: female",NA,"correct"
"wgm7ZjJMLda3",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"8","0","Yes.","2023-10-26 15:23:00",34,"1: male",NA,"correct"
"xtStyEpA5h3x",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"8",NA,"Yes.","2023-10-26 14:27:37",34,"1: male",NA,"correct"
"zKAcZ91vt1GU",2,"1: I confirm","1: I will take it seriously","reversible","original",5,4,"4","4","Yes.","2023-10-26 15:23:35",51,"2: female",NA,"correct"
"2VJBnOrJwseE",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-27 05:18:16",29,"1: male",NA,"correct"
"3W7DmuMmS3uL",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-26 15:21:50",38,"1: male",NA,"correct"
"55cyODsUOlZS",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,1,"0","0","No.","2023-10-26 15:21:25",53,"1: male",NA,"correct"
"6S0vsFly9pVf",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-27 05:18:29",33,"2: female",NA,"correct"
"7MkjJHpvH7HH",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"8","0","No.","2023-10-27 05:18:40",27,"1: male",NA,"correct"
"8SB4JsxIm6FU",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-27 05:17:32",27,"1: male",NA,"correct"
"AS17JD012QUO",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"8","0","No.","2023-10-26 15:23:45",55,"2: female",NA,"correct"
"bZwZuUOJUNvb",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"8","0","No.","2023-10-26 15:23:01",38,"2: female",NA,"correct"
"crEspcAYRzWd",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-26 15:24:05",30,"2: female",NA,"correct"
"DHo9Sog1OCam",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-27 05:18:07",50,"2: female",NA,"correct"
"eIla2MI40Yo6",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-26 15:04:51",23,"2: female","The questions were phrased confusingly.","correct"
"fDmKVwa2ZHof",3,"1: I confirm","1: I will take it seriously","irreversible","novel",7,0,"7","7","No.","2023-10-26 15:23:03",30,"2: female",NA,"correct"
"FPXWdV80jABr",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"8","8","No.","2023-10-27 05:18:21",31,"1: male",NA,"correct"
"fQH0kpLREHDs",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-26 15:23:18",26,"2: female",NA,"correct"
"l2EFKclpi8CF",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-26 15:04:15",46,"2: female",NA,"correct"
"lW1ErL2NAx2X",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-26 15:24:26",54,"1: male",NA,"correct"
"mgqKqSZm0HEz",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"4","4","No.","2023-10-26 15:22:47",35,"2: female",NA,"correct"
"MXKgHtlMatgJ",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-26 15:03:53",26,"1: male",NA,"correct"
"PBfulqVJLDHi",3,"1: I confirm","1: I will take it seriously","irreversible","novel",7,0,"0","0","No.","2023-10-26 15:22:39",22,"1: male",NA,"correct"
"PkYGGGJGi8mV",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"8","8","No.","2023-10-26 15:04:43",26,"2: female",NA,"correct"
"reqH848a0sk2",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-27 05:18:43",28,"2: female","None, thank you.","correct"
"S3rrT2ikWgfS",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"7","0","No.","2023-10-26 15:21:00",25,"1: male","No issues during this session.","correct"
"Vb7raDXBgaAt",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"0","0","No.","2023-10-26 15:22:20",40,"1: male",NA,"correct"
"WoGGR3npXdJl",3,"1: I confirm","1: I will take it seriously","irreversible","novel",7,0,"1","1","No.","2023-10-27 05:17:30",23,"1: male",NA,"correct"
"y216i7D0MxLJ",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,8,"8","0","No.","2023-10-27 05:17:13",31,"2: female","none","correct"
"ZGp8JipD9inj",3,"1: I confirm","1: I will take it seriously","irreversible","novel",8,0,"8","0","No.","2023-10-26 15:22:28",40,"2: female",NA,"correct"
"0szICUQV3glC",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,1,"8","2","Yes.","2023-10-27 05:19:50",50,"2: female","None","correct"
"1GKdt3IaTsZ9",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,8,"8","8","Yes.","2023-10-26 15:21:23",60,"1: male",NA,"correct"
"6K3VP7OGdzvt",4,"1: I confirm","1: I will take it seriously","reversible","novel",6,6,"6","5","Yes.","2023-10-26 15:21:20",26,"1: male",NA,"correct"
"Az5Mk29mPAk1",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"0","0","Yes.","2023-10-26 15:23:40",26,"1: male",NA,"correct"
"b2Cu1qN6eTQ9",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,8,"8","8","Yes.","2023-10-26 15:21:36",41,"2: female",NA,"correct"
"B8nRd7j0GqA4",4,"1: I confirm","1: I will take it seriously","reversible","novel",7,1,"4","4","Yes.","2023-10-26 15:04:04",76,"1: male",NA,"correct"
"dt68vz4vhtlo",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,4,"8","8","Yes.","2023-10-26 15:24:11",38,"1: male",NA,"correct"
"dtxp3LJbuI5W",4,"1: I confirm","1: I will take it seriously","reversible","novel",7,1,"7","1","Yes.","2023-10-26 15:04:33",52,"1: male",NA,"correct"
"E7ZuLqHm8xvx",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","8","Yes.","2023-10-26 15:22:54",37,"2: female","none","correct"
"edefGzM7rWsb",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","0","Yes.","2023-10-26 15:04:27",34,"2: female",NA,"correct"
"GUR6z4KuhQiz",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,1,"7","7","Yes.","2023-10-26 15:22:32",40,"1: male",NA,"correct"
"H6FnFBwh0d9F",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","8","Yes.","2023-10-26 15:22:18",33,"2: female","No errors, thank you.","correct"
"Nqw2Y7JBWPEN",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","0","Yes.","2023-10-27 05:17:24",40,"2: female","no issue
","correct"
"nSC5R54ka6mf",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","0","Yes.","2023-10-26 15:23:12",37,"1: male","N/A","correct"
"NUqis9vcIJL7",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"5","5","Yes.","2023-10-26 15:20:59",61,"2: female",NA,"correct"
"o14UOCIHDCCq",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","0","Yes.","2023-10-26 15:31:45",31,"2: female",NA,"correct"
"oCraaoRBCydU",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"6","6","Yes.","2023-10-27 05:18:18",43,"1: male","N/A","correct"
"PUdk0XkXA1UU",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","7","Yes.","2023-10-26 15:21:56",27,"1: male","none","correct"
"Qj0g6vW63EX6",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"0","1","Yes.","2023-10-27 05:18:26",66,"1: male","all good","correct"
"RRES1nSBLf2i",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","8","Yes.","2023-10-27 05:17:30",38,"1: male",NA,"correct"
"SaSgTxjac6xJ",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"8","0","Yes.","2023-10-27 05:17:40",39,"1: male",NA,"correct"
"tcOV3G5XJGJs",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,1,"4","4","Yes.","2023-10-26 15:24:25",23,"2: female",NA,"correct"
"U3ROV9quq3NY",4,"1: I confirm","1: I will take it seriously","reversible","novel",8,0,"0","0","Yes.","2023-10-27 05:18:28",60,"2: female",NA,"correct"
